cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness
1,1000,0,0,1.0
101,676,1321,30,0.568557
201,704,1383,36,0.547559
301,665,1401,34,0.546627
401,671,1415,34,0.549136
501,693,1442,38,0.547745
601,666,1484,38,0.595052
701,691,1474,40,0.544787
801,663,1475,51,0.580395
901,654,1431,44,0.533126
1001,649,1430,40,0.574042
1101,678,1408,59,0.565118
1201,676,1488,55,0.562682
1301,642,1420,50,0.584478
1401,635,1405,37,0.532684
1501,646,1464,33,0.535204
1601,650,1526,42,0.536861
1701,661,1459,48,0.559559
1801,664,1428,58,0.56482
1901,669,1474,59,0.563584
2001,677,1422,66,0.576353
2101,646,1434,41,0.571591
2201,668,1416,56,0.574241
2301,679,1412,51,0.564703
2401,667,1458,59,0.526705
2501,690,1473,60,0.539426
2601,672,1472,57,0.546289
2701,687,1503,67,0.556115
2801,649,1500,66,0.5711
2901,670,1494,64,0.546865
3001,680,1466,59,0.552109
3101,648,1471,53,0.55945
3201,666,1484,65,0.531436
3301,668,1495,67,0.610387
3401,703,1508,76,0.538426
3501,674,1449,64,0.55046
3601,694,1488,58,0.548641
3701,664,1467,61,0.578646
3801,659,1515,48,0.558562
3901,708,1541,65,0.560186
4001,672,1494,54,0.565989
4101,680,1519,57,0.570921
4201,678,1462,59,0.571702
4301,682,1532,55,0.533691
4401,657,1563,56,0.555861
4501,662,1534,55,0.5561
4601,645,1465,58,0.568083
4701,698,1526,66,0.557232
4801,689,1528,59,0.564484
4901,654,1440,66,0.540737
5001,656,1476,64,0.596883
5101,647,1567,62,0.543208
5201,650,1467,70,0.541915
5301,691,1541,81,0.544088
5401,680,1577,82,0.547859
5501,705,1470,70,0.542062
5601,693,1553,71,0.572716
5701,699,1580,77,0.552666
5801,640,1525,79,0.538766
5901,678,1587,81,0.543028
6001,668,1575,84,0.58262
6101,707,1580,80,0.560768
6201,684,1551,75,0.567962
6301,650,1488,87,0.550264
6401,665,1505,85,0.574214
6501,686,1490,79,0.524819
6601,687,1602,77,0.539913
6701,668,1540,86,0.563863
6801,664,1573,77,0.539742
6901,666,1464,81,0.570578
7001,681,1544,82,0.540052
7101,715,1523,79,0.558161
7201,711,1537,79,0.565725
7301,671,1530,76,0.572771
7401,689,1568,89,0.5467
7501,681,1535,79,0.567986
7601,685,1534,80,0.533976
7701,706,1591,85,0.575207
7801,721,1546,90,0.546839
7901,691,1587,98,0.561766
8001,692,1548,88,0.546208
8101,678,1588,82,0.552036
8201,696,1604,93,0.555102
8301,725,1651,92,0.548354
8401,700,1582,92,0.552156
8501,678,1505,87,0.560409
8601,704,1563,94,0.580035
8701,706,1635,95,0.545665
8801,728,1610,91,0.525453
8901,749,1663,97,0.541817
9001,724,1661,83,0.546648
9101,672,1561,87,0.536911
9201,734,1592,87,0.571648
9301,702,1593,84,0.554295
9401,694,1649,95,0.585413
9501,720,1596,92,0.577067
9601,730,1626,85,0.564415
9701,737,1576,96,0.560702
9801,731,1641,87,0.531396
9901,708,1579,94,0.553614
10001,719,1642,98,0.581703
10101,742,1647,98,0.564948
10201,681,1661,98,0.54922
10301,693,1572,85,0.577388
10401,713,1581,105,0.564378
10501,679,1599,95,0.570314
10601,750,1689,99,0.571492
10701,698,1677,93,0.566093
10801,693,1639,104,0.53711
10901,729,1686,103,0.546842
11001,729,1658,94,0.558869
11101,719,1603,97,0.544493
11201,723,1619,105,0.547109
11301,697,1641,103,0.541954
11401,697,1605,112,0.554649
11501,720,1633,102,0.547696
11601,749,1634,103,0.540614
11701,742,1589,102,0.540629
11801,735,1623,110,0.543662
11901,714,1647,106,0.58085
12001,716,1720,109,0.553803
12101,731,1654,118,0.53685
12201,722,1617,105,0.569769
12301,708,1695,104,0.565424
12401,697,1593,110,0.542312
12501,728,1733,112,0.569389
12601,717,1573,115,0.562964
12701,745,1666,109,0.544345
12801,725,1676,113,0.566648
12901,708,1697,106,0.560735
13001,743,1750,112,0.561289
13101,724,1619,119,0.566092
13201,698,1615,105,0.548249
13301,728,1630,110,0.556289
13401,729,1613,113,0.58553
13501,724,1654,113,0.533955
13601,733,1638,107,0.554815
13701,669,1553,106,0.581198
13801,734,1617,112,0.560523
13901,731,1673,122,0.550545
14001,698,1699,119,0.557314
14101,720,1703,117,0.555797
14201,711,1603,122,0.54252
14301,724,1613,111,0.569078
14401,773,1739,106,0.558511
14501,715,1732,118,0.540382
14601,723,1725,128,0.577992
14701,764,1732,125,0.533148
14801,726,1609,119,0.535042
14901,725,1610,129,0.55805
15001,746,1728,116,0.553959
15101,721,1644,121,0.562089
15201,731,1697,127,0.534387
15301,700,1676,129,0.550223
15401,753,1709,120,0.558195
15501,725,1738,122,0.576078
15601,739,1693,130,0.553073
15701,717,1730,119,0.533944
15801,739,1643,124,0.548255
15901,733,1699,125,0.551759
16001,749,1701,121,0.53028
16101,737,1701,124,0.56819
16201,736,1750,130,0.564718
16301,743,1664,143,0.565638
16401,749,1659,134,0.561343
16501,727,1694,130,0.545813
16601,737,1756,151,0.55675
16701,742,1759,139,0.541506
16801,710,1729,132,0.551785
16901,708,1734,131,0.565163
17001,723,1682,125,0.551347
17101,762,1731,134,0.552083
17201,728,1778,132,0.567361
17301,731,1735,132,0.554439
17401,724,1677,131,0.548273
17501,760,1753,131,0.577668
17601,710,1662,136,0.565793
17701,767,1716,136,0.560792
17801,736,1732,139,0.572445
17901,731,1721,137,0.556766
18001,709,1759,136,0.532041
18101,747,1719,127,0.566047
18201,728,1727,134,0.562688
18301,730,1711,129,0.555189
18401,718,1742,130,0.550754
18501,729,1688,130,0.559059
18601,763,1712,138,0.550475
18701,745,1756,127,0.566933
18801,734,1811,134,0.531264
18901,728,1753,152,0.561395
19001,736,1700,122,0.568453
19101,687,1709,136,0.524978
19201,759,1761,138,0.560534
19301,681,1686,141,0.557038
19401,771,1723,147,0.558646
19501,680,1635,143,0.589358
19601,736,1717,144,0.568269
19701,728,1783,138,0.528846
19801,723,1758,163,0.56596
19901,704,1699,140,0.531261
20001,731,1735,136,0.553975
20101,731,1765,152,0.555834
20201,763,1806,139,0.544643
20301,753,1715,142,0.564127
20401,785,1751,149,0.555562
20501,731,1776,152,0.574015
20601,768,1727,152,0.570334
20701,764,1816,155,0.53446
20801,748,1762,150,0.560649
20901,709,1682,152,0.571762
21001,746,1761,155,0.557296
21101,732,1810,160,0.545214
21201,732,1815,159,0.542673
21301,719,1715,169,0.577725
21401,693,1770,145,0.543075
21501,727,1804,144,0.555969
21601,740,1768,151,0.539849
21701,763,1777,142,0.571449
21801,741,1728,147,0.567777
21901,759,1820,152,0.554194
22001,769,1795,152,0.565655
22101,726,1721,151,0.556569
22201,724,1694,141,0.565848
22301,773,1820,148,0.537832
22401,715,1705,129,0.552584
22501,764,1722,143,0.554445
22601,733,1709,139,0.547315
22701,743,1714,141,0.551104
22801,756,1786,156,0.539039
22901,734,1762,160,0.574615
23001,752,1824,169,0.534639
23101,706,1787,156,0.554372
23201,739,1821,159,0.567079
23301,747,1765,158,0.572233
23401,720,1826,157,0.559311
23501,738,1793,160,0.563419
23601,691,1805,147,0.550211
23701,732,1768,167,0.549989
23801,759,1829,158,0.571137
23901,716,1819,159,0.56054
24001,781,1896,163,0.573686
24101,745,1794,163,0.560421
24201,739,1739,166,0.558827
24301,742,1707,164,0.558212
24401,747,1776,186,0.562068
24501,749,1820,177,0.565508
24601,719,1842,167,0.559892
24701,771,1847,167,0.560725
24801,755,1859,158,0.545364
24901,772,1889,167,0.54008
25001,725,1740,167,0.551704
25101,790,1815,168,0.562616
25201,757,1817,168,0.573649
25301,754,1826,159,0.56677
25401,745,1846,170,0.546047
25501,732,1816,168,0.558173
25601,737,1777,164,0.564002
25701,762,1839,170,0.562284
25801,732,1798,157,0.560696
25901,747,1804,178,0.568563
26001,768,1768,166,0.574941
26101,751,1783,173,0.588309
26201,768,1779,159,0.551599
26301,811,1782,165,0.54157
26401,752,1772,166,0.556802
26501,763,1887,178,0.544992
26601,790,1821,167,0.566005
26701,752,1745,177,0.548314
26801,729,1739,166,0.592917
26901,775,1854,171,0.537476
27001,755,1869,185,0.565582
27101,778,1894,191,0.554657
27201,772,1858,184,0.546176
27301,758,1755,183,0.572226
27401,777,1905,185,0.542201
27501,747,1855,180,0.533778
27601,775,1823,194,0.575491
27701,736,1796,182,0.596164
27801,771,1838,181,0.549873
27901,782,1820,174,0.556185
28001,766,1835,174,0.55803
28101,774,1840,169,0.578911
28201,752,1809,173,0.544236
28301,744,1805,184,0.565011
28401,741,1773,188,0.569729
28501,743,1829,179,0.532821
28601,771,1863,185,0.536069
28701,758,1877,177,0.546908
28801,779,1798,181,0.565557
28901,735,1767,175,0.564009
29001,750,1857,181,0.537319
29101,730,1756,180,0.590875
29201,766,1848,187,0.559488
29301,769,1915,187,0.55984
29401,761,1939,187,0.552636
29501,750,1832,169,0.5877
29601,733,1883,182,0.546569
29701,762,1809,192,0.543142
29801,751,1804,174,0.557042
29901,717,1854,174,0.579835
30001,771,1877,184,0.552321
30101,787,1880,180,0.544168
30201,764,1885,184,0.570555
30301,777,1912,183,0.557863
30401,752,1883,187,0.55017
30501,769,1910,196,0.576683
30601,731,1832,189,0.527018
30701,769,1871,194,0.540251
30801,749,1881,197,0.560681
30901,823,1900,193,0.534789
31001,804,1915,192,0.578494
31101,764,1865,195,0.538422
31201,766,1851,200,0.554873
31301,797,1837,200,0.555824
31401,766,1944,204,0.548253
31501,800,1947,206,0.555763
31601,799,1869,213,0.532062
31701,805,1893,211,0.580261
31801,768,1855,195,0.563229
31901,751,1823,188,0.571625
32001,787,1950,192,0.557696
32101,768,1856,188,0.551608
32201,797,1866,203,0.5514
32301,771,1926,194,0.548389
32401,760,1961,198,0.564532
32501,764,1852,188,0.55734
32601,814,1896,190,0.561234
32701,775,1876,186,0.576152
32801,785,1968,191,0.542855
32901,755,2010,193,0.534631
33001,778,1876,196,0.551239
33101,738,1916,200,0.560869
33201,770,1929,199,0.540449
33301,774,1832,195,0.575954
33401,772,1949,204,0.58005
33501,785,1975,211,0.541193
33601,762,1899,195,0.559933
33701,785,1976,216,0.532602
33801,781,1986,213,0.546705
33901,719,1855,207,0.549751
34001,811,1992,206,0.535669
34101,791,1977,220,0.55195
34201,777,1939,211,0.547138
34301,784,1877,209,0.564421
34401,780,1986,203,0.550347
34501,753,1892,198,0.55469
34601,810,1883,196,0.554585
34701,776,1809,205,0.545641
34801,820,1943,206,0.555722
34901,746,1902,214,0.574901
35001,773,1907,210,0.554154
35101,782,1923,202,0.543256
35201,756,1811,199,0.565262
35301,749,1888,200,0.554607
35401,808,1954,215,0.573912
35501,815,1986,214,0.526671
35601,762,1946,217,0.561418
35701,771,1935,213,0.54153
35801,753,1883,225,0.547255
35901,745,1919,221,0.582569
36001,751,1927,213,0.551934
36101,787,1985,221,0.553854
36201,778,1940,208,0.543086
36301,774,1924,210,0.558262
36401,746,1921,214,0.57357
36501,758,1906,218,0.555442
36601,802,1949,221,0.566605
36701,804,1972,223,0.551261
36801,777,1938,223,0.559986
36901,776,1922,227,0.576848
37001,768,1940,224,0.574751
37101,803,1985,213,0.568417
37201,775,1966,220,0.543124
37301,806,1971,215,0.573463
37401,746,1924,215,0.564566
37501,779,1919,223,0.557008
37601,821,1949,221,0.560726
37701,781,2013,230,0.550163
37801,774,1962,227,0.558648
37901,795,2095,220,0.549634
38001,797,2008,219,0.578337
38101,765,2023,224,0.571601
38201,815,2047,225,0.561292
38301,790,2042,226,0.542314
38401,787,2093,226,0.520564
38501,808,2026,232,0.558352
38601,812,1940,227,0.569024
38701,791,2002,235,0.54617
38801,801,1936,235,0.555313
38901,827,2000,227,0.558083
39001,811,2018,215,0.548259
39101,798,2019,227,0.546728
39201,808,2030,224,0.554325
39301,837,2049,242,0.603187
39401,822,2072,227,0.551559
39501,797,1963,234,0.587681
39601,772,1977,234,0.56496
39701,804,1979,224,0.548523
39801,806,2095,230,0.556034
39901,763,1988,238,0.591691
40001,767,1940,229,0.542793
40101,828,2000,237,0.558973
40201,781,2042,234,0.540462
40301,800,2070,239,0.554256
40401,800,2000,235,0.585893
40501,804,2025,246,0.552191
40601,815,2049,247,0.539496
40701,811,2045,250,0.543651
40801,774,1995,250,0.549276
40901,794,1927,242,0.549025
41001,796,2025,241,0.588611
41101,813,2039,243,0.578615
41201,780,2116,243,0.567122
41301,810,2024,253,0.587901
41401,812,2078,250,0.550942
41501,820,2084,262,0.551812
41601,861,2022,260,0.549508
41701,800,2109,254,0.568726
41801,826,2082,249,0.574481
41901,852,2076,247,0.592632
42001,838,2050,257,0.567324
42101,809,2056,257,0.548337
42201,765,2000,261,0.579312
42301,810,2120,252,0.563297
42401,808,2103,250,0.516637
42501,812,2050,245,0.560046
42601,845,2094,258,0.5662
42701,843,2122,241,0.542357
42801,808,2101,245,0.562645
42901,828,2110,258,0.57464
43001,830,2133,259,0.550797
43101,853,2115,246,0.533402
43201,815,2066,242,0.568725
43301,860,2141,241,0.558754
43401,849,2111,249,0.546392
43501,818,2113,249,0.547196
43601,792,2024,253,0.549253
43701,821,2064,252,0.56133
43801,833,2138,254,0.566018
43901,875,2083,243,0.578627
44001,812,2039,254,0.551526
44101,803,2069,247,0.56943
44201,855,2103,259,0.54893
44301,808,2085,256,0.561749
44401,863,2144,259,0.556307
44501,834,2090,262,0.561466
44601,852,2126,260,0.565965
44701,837,2126,260,0.54695
44801,782,2057,252,0.547864
44901,832,2172,259,0.574251
45001,868,2134,263,0.545231
45101,828,2074,246,0.548407
45201,830,2078,248,0.559863
45301,814,2118,257,0.543858
45401,830,2165,261,0.561862
45501,788,2058,258,0.560759
45601,806,2088,252,0.577295
45701,826,2120,268,0.526874
45801,855,2073,279,0.570183
45901,826,2131,272,0.572009
46001,810,2080,285,0.589819
46101,860,2220,273,0.534504
46201,877,2106,266,0.554659
46301,876,2167,279,0.562031
46401,853,2176,285,0.568229
46501,857,2167,280,0.560183
46601,834,2209,279,0.561692
46701,824,2209,284,0.536942
46801,806,2131,271,0.55533
46901,815,2096,274,0.578626
47001,849,2189,276,0.547697
47101,850,2207,291,0.547996
47201,876,2201,290,0.553469
47301,874,2312,278,0.551832
47401,845,2222,285,0.519544
47501,855,2136,279,0.56176
47601,858,2153,285,0.558845
47701,872,2175,274,0.544052
47801,863,2167,282,0.58141
47901,854,2129,282,0.557782
48001,849,2144,280,0.562962
48101,875,2160,272,0.556357
48201,825,2163,279,0.544253
48301,864,2203,262,0.538399
48401,881,2245,281,0.574415
48501,860,2206,284,0.541266
48601,851,2260,285,0.537145
48701,893,2192,288,0.582343
48801,884,2308,288,0.570606
48901,880,2282,297,0.556829
49001,848,2255,299,0.546636
49101,873,2183,311,0.552657
49201,866,2191,298,0.538517
49301,894,2191,283,0.563333
49401,861,2255,291,0.561785
49501,877,2190,303,0.557863
49601,854,2191,290,0.544629
49701,881,2253,294,0.544317
49801,876,2255,302,0.550618
49901,883,2264,300,0.556333
