cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness
1,1000,0,0,1.0
101,667,1348,41,0.563176
201,697,1387,35,0.546448
301,655,1416,50,0.545732
401,701,1472,39,0.564226
501,658,1432,39,0.545584
601,688,1492,45,0.54039
701,687,1388,47,0.562125
801,684,1494,50,0.527995
901,722,1445,36,0.567278
1001,678,1470,41,0.565424
1101,663,1473,43,0.531445
1201,636,1402,63,0.555484
1301,702,1425,48,0.598241
1401,662,1432,59,0.570156
1501,675,1482,50,0.573979
1601,715,1503,54,0.551381
1701,693,1499,57,0.55395
1801,673,1485,60,0.569822
1901,664,1471,57,0.540117
2001,687,1475,53,0.550426
2101,683,1553,55,0.552817
2201,683,1534,57,0.550318
2301,691,1554,57,0.536554
2401,713,1516,54,0.556903
2501,670,1482,58,0.56022
2601,644,1456,52,0.551862
2701,663,1478,55,0.541187
2801,657,1550,53,0.530797
2901,695,1523,61,0.560596
3001,663,1519,65,0.552241
3101,670,1479,58,0.590307
3201,701,1639,60,0.56205
3301,674,1494,63,0.58096
3401,666,1479,63,0.514957
3501,698,1557,51,0.575602
3601,664,1484,66,0.55059
3701,663,1597,76,0.555925
3801,630,1574,60,0.577315
3901,690,1536,62,0.573
4001,671,1502,54,0.557252
4101,712,1536,63,0.556674
4201,646,1514,77,0.5738
4301,722,1552,63,0.564968
4401,696,1567,64,0.534192
4501,686,1436,67,0.578347
4601,685,1524,78,0.554297
4701,720,1544,84,0.560639
4801,674,1491,65,0.552091
4901,684,1477,77,0.563254
5001,646,1513,71,0.571498
5101,717,1538,73,0.572695
5201,687,1538,77,0.568728
5301,649,1582,74,0.518677
5401,686,1565,69,0.564579
5501,722,1526,73,0.547598
5601,708,1501,62,0.558154
5701,700,1464,75,0.582037
5801,698,1538,69,0.552356
5901,704,1535,73,0.565768
6001,695,1540,91,0.543089
6101,719,1575,76,0.557817
6201,695,1615,71,0.548578
6301,679,1511,75,0.539738
6401,659,1502,79,0.572032
6501,712,1546,76,0.582691
6601,695,1566,74,0.552753
6701,678,1588,77,0.533445
6801,660,1630,74,0.541796
6901,663,1543,72,0.552573
7001,734,1585,84,0.558724
7101,698,1573,82,0.546813
7201,693,1632,94,0.54534
7301,722,1576,91,0.53754
7401,684,1604,88,0.541695
7501,691,1533,85,0.547939
7601,715,1632,94,0.544416
7701,679,1554,89,0.570467
7801,682,1581,83,0.559417
7901,688,1579,80,0.557489
8001,703,1630,72,0.534057
8101,672,1571,86,0.551882
8201,731,1641,88,0.523384
8301,696,1540,80,0.558711
8401,721,1541,93,0.580033
8501,685,1578,92,0.570295
8601,719,1553,91,0.554332
8701,730,1611,90,0.559442
8801,712,1595,108,0.569464
8901,678,1630,98,0.559131
9001,687,1634,96,0.537722
9101,672,1501,102,0.572893
9201,696,1653,103,0.564351
9301,761,1719,97,0.53736
9401,712,1666,97,0.57479
9501,723,1656,114,0.549171
9601,684,1644,108,0.56203
9701,709,1624,110,0.55125
9801,720,1633,108,0.54764
9901,743,1651,96,0.586127
10001,701,1644,102,0.589663
10101,679,1617,103,0.547799
10201,732,1656,96,0.560885
10301,732,1662,100,0.527991
10401,701,1589,97,0.560786
10501,726,1677,90,0.540804
10601,720,1660,88,0.539488
10701,675,1611,86,0.567747
10801,760,1762,96,0.573085
10901,737,1666,103,0.524871
11001,696,1684,111,0.56492
11101,716,1662,108,0.571676
11201,740,1621,105,0.611724
11301,677,1660,97,0.550736
11401,713,1743,102,0.53805
11501,690,1658,100,0.555678
11601,696,1657,101,0.558317
11701,735,1659,104,0.559093
11801,706,1723,107,0.535054
11901,708,1655,113,0.536884
12001,699,1686,107,0.565292
12101,687,1662,113,0.524263
12201,717,1710,109,0.565082
12301,730,1678,105,0.535113
12401,705,1652,110,0.5233
12501,731,1654,104,0.554765
12601,739,1698,104,0.546011
12701,719,1635,110,0.538477
12801,733,1680,118,0.56189
12901,724,1690,122,0.562317
13001,765,1709,117,0.554303
13101,722,1730,118,0.551292
13201,720,1739,114,0.558593
13301,701,1669,120,0.556857
13401,706,1680,125,0.568904
13501,706,1656,119,0.541335
13601,745,1677,122,0.555851
13701,710,1587,110,0.553624
13801,714,1668,115,0.537794
13901,725,1685,107,0.572515
14001,703,1617,110,0.574887
14101,705,1655,132,0.554347
14201,709,1619,124,0.559494
14301,744,1727,126,0.567402
14401,738,1662,124,0.557172
14501,711,1660,126,0.566584
14601,722,1780,139,0.575093
14701,721,1674,132,0.573247
14801,728,1603,125,0.541308
14901,697,1598,132,0.595553
15001,733,1627,134,0.567803
15101,747,1690,145,0.565921
15201,720,1699,134,0.549983
15301,760,1751,136,0.557369
15401,703,1649,145,0.551422
15501,731,1746,149,0.56941
15601,734,1696,131,0.567099
15701,723,1644,140,0.54292
