cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness
1,1000,0,0,1.0
101,712,1395,37,0.547325
201,674,1391,41,0.572301
301,683,1391,39,0.554849
401,682,1381,44,0.587376
501,707,1478,56,0.546396
601,665,1399,53,0.544628
701,663,1406,53,0.57972
801,640,1408,60,0.542808
901,665,1472,44,0.550407
1001,705,1512,49,0.559763
1101,627,1373,55,0.535747
1201,646,1502,55,0.5354
1301,662,1455,53,0.56025
1401,655,1470,56,0.574367
1501,654,1535,63,0.562418
1601,648,1453,57,0.540523
1701,705,1446,59,0.551706
1801,704,1564,55,0.540478
1901,673,1485,70,0.590857
2001,658,1511,56,0.542274
2101,675,1515,62,0.555949
2201,653,1510,64,0.548101
2301,684,1468,75,0.574153
2401,671,1419,50,0.567612
2501,680,1530,67,0.557754
2601,674,1519,68,0.583857
2701,696,1531,71,0.557589
2801,704,1594,78,0.546877
2901,672,1589,66,0.570798
3001,688,1605,85,0.51442
3101,690,1591,74,0.541659
3201,658,1483,70,0.570405
3301,703,1553,77,0.536606
3401,679,1527,76,0.558125
3501,680,1542,74,0.553812
3601,670,1521,77,0.563123
3701,711,1526,74,0.547935
3801,712,1520,78,0.590281
3901,678,1497,86,0.555942
4001,695,1580,81,0.541821
4101,676,1528,84,0.56111
4201,707,1590,79,0.561259
4301,724,1554,77,0.570103
4401,682,1455,75,0.578914
4501,641,1466,72,0.577853
4601,675,1578,85,0.553098
4701,693,1605,83,0.544434
4801,697,1552,80,0.56691
4901,709,1535,90,0.554331
5001,722,1588,89,0.520869
5101,674,1599,79,0.532553
5201,685,1617,84,0.534317
5301,718,1591,88,0.567573
5401,720,1517,95,0.576962
5501,697,1521,93,0.548676
5601,738,1570,86,0.590153
5701,705,1651,88,0.53228
5801,679,1622,98,0.548796
5901,694,1620,89,0.555924
6001,719,1620,88,0.549749
6101,670,1564,93,0.568593
6201,657,1562,97,0.559494
6301,708,1543,106,0.54738
6401,707,1560,96,0.556791
