cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness
1,1000,0,0,1.0
101,658,1352,35,0.574283
201,713,1362,34,0.56888
301,679,1408,37,0.554506
401,712,1464,42,0.537402
501,677,1421,35,0.597275
601,695,1504,44,0.535632
701,634,1401,45,0.537481
801,688,1491,46,0.538983
901,672,1501,51,0.558945
1001,669,1450,48,0.589354
1101,646,1402,45,0.543722
1201,698,1481,42,0.577551
1301,675,1480,53,0.595399
1401,652,1399,43,0.5626
1501,714,1468,52,0.556554
1601,721,1567,71,0.530827
1701,662,1473,61,0.55881
1801,680,1427,54,0.580096
1901,687,1420,64,0.566153
2001,709,1463,66,0.57181
2101,669,1501,65,0.554067
2201,713,1556,63,0.524486
2301,667,1525,62,0.561966
2401,691,1481,58,0.55809
2501,692,1507,54,0.559922
2601,693,1521,58,0.555987
2701,695,1558,58,0.562979
2801,678,1521,68,0.558764
2901,679,1531,73,0.555071
3001,679,1501,57,0.563057
3101,682,1475,69,0.560543
3201,718,1556,66,0.540722
3301,717,1501,66,0.594044
3401,638,1416,72,0.543091
3501,668,1489,71,0.53792
3601,666,1519,73,0.573369
3701,677,1481,71,0.54087
3801,687,1561,67,0.551079
3901,687,1556,64,0.536433
4001,678,1497,61,0.573192
4101,688,1546,58,0.575174
4201,685,1477,68,0.539544
4301,679,1503,62,0.548932
4401,686,1494,60,0.535972
4501,688,1497,68,0.594801
4601,683,1501,75,0.548736
4701,676,1581,76,0.561131
4801,681,1518,71,0.551163
4901,688,1555,72,0.558715
5001,685,1470,72,0.573332
5101,715,1560,74,0.542359
5201,715,1471,60,0.563291
5301,680,1569,64,0.547422
5401,681,1486,68,0.556532
5501,675,1560,76,0.557751
5601,663,1544,72,0.567168
5701,702,1605,68,0.56084
5801,684,1611,74,0.513777
5901,670,1552,74,0.564304
6001,701,1551,73,0.571566
6101,658,1565,82,0.557875
6201,660,1564,88,0.55755
6301,678,1538,91,0.546151
6401,657,1540,86,0.565485
6501,706,1529,88,0.514412
6601,687,1479,79,0.565348
6701,648,1460,85,0.570462
6801,693,1557,85,0.545812
6901,672,1547,71,0.559677
7001,690,1580,94,0.538676
7101,665,1559,81,0.57499
7201,701,1568,108,0.547805
7301,722,1581,92,0.54098
7401,705,1586,95,0.571794
7501,694,1579,108,0.568341
7601,725,1562,95,0.55226
7701,703,1595,88,0.5445
7801,675,1568,95,0.551963
7901,730,1629,101,0.566506
8001,690,1540,96,0.581303
8101,682,1583,98,0.537222
8201,740,1585,97,0.538193
8301,693,1583,108,0.567343
8401,707,1551,102,0.582578
8501,692,1577,105,0.5405
8601,720,1566,98,0.572849
8701,679,1562,93,0.536953
8801,687,1537,96,0.561642
8901,677,1599,101,0.561993
9001,695,1629,99,0.519587
9101,698,1621,95,0.546972
9201,727,1523,92,0.56719
9301,684,1605,81,0.562115
9401,733,1626,94,0.549365
9501,745,1662,98,0.553268
9601,689,1600,91,0.557473
9701,706,1553,111,0.573451
9801,729,1607,94,0.541525
9901,705,1598,102,0.549996
10001,734,1635,113,0.548348
10101,693,1618,111,0.543967
10201,707,1678,109,0.562521
10301,671,1512,98,0.604791
10401,706,1554,98,0.563105
10501,706,1649,115,0.572169
10601,705,1608,109,0.549554
10701,715,1668,108,0.553817
10801,745,1631,109,0.582784
10901,696,1659,97,0.541556
11001,727,1658,103,0.559381
11101,681,1586,111,0.548315
11201,700,1612,99,0.573544
11301,697,1667,112,0.583
11401,712,1612,110,0.568079
11501,738,1693,107,0.542362
11601,657,1626,113,0.556099
11701,707,1610,113,0.535633
11801,696,1636,109,0.564834
11901,728,1568,117,0.56722
12001,689,1593,105,0.554944
12101,746,1688,103,0.555722
12201,716,1678,113,0.562768
12301,687,1675,103,0.53909
12401,731,1639,105,0.557409
12501,714,1546,109,0.59234
12601,738,1700,104,0.541777
12701,706,1611,109,0.527331
12801,698,1699,114,0.559471
12901,707,1687,108,0.542963
13001,720,1654,112,0.566229
13101,728,1627,102,0.553418
13201,704,1689,103,0.548932
13301,678,1692,102,0.549455
13401,734,1602,111,0.580825
13501,724,1633,111,0.574424
13601,725,1645,111,0.565128
13701,689,1564,117,0.568949
13801,744,1704,123,0.553842
13901,736,1586,116,0.559745
14001,692,1608,119,0.564329
14101,745,1637,109,0.553027
14201,732,1718,125,0.550832
14301,677,1659,134,0.549126
14401,739,1618,120,0.57729
14501,753,1723,117,0.556868
14601,701,1611,115,0.548045
14701,709,1711,116,0.55007
14801,689,1607,125,0.544145
14901,735,1657,118,0.562962
15001,713,1627,122,0.542872
15101,708,1615,121,0.544561
15201,701,1630,119,0.559415
15301,681,1615,130,0.558402
15401,726,1650,117,0.567223
15501,704,1656,125,0.551708
15601,729,1673,123,0.527627
15701,675,1699,119,0.535676
15801,718,1725,129,0.552516
15901,704,1668,140,0.538881
16001,735,1678,131,0.578652
16101,722,1621,123,0.553015
16201,737,1567,130,0.571907
16301,685,1612,133,0.549262
16401,741,1663,126,0.574568
16501,715,1695,121,0.548317
16601,717,1681,124,0.559444
16701,706,1690,133,0.545789
16801,691,1626,126,0.558196
16901,719,1660,139,0.558982
17001,718,1624,130,0.564417
17101,753,1713,123,0.537341
17201,717,1674,123,0.542117
17301,748,1748,136,0.53427
17401,678,1696,123,0.539107
17501,734,1706,129,0.583437
17601,721,1695,128,0.556684
17701,679,1730,125,0.56501
17801,715,1657,124,0.549662
17901,752,1665,131,0.561825
18001,720,1727,138,0.544553
18101,715,1606,143,0.555629
18201,739,1665,120,0.565952
18301,698,1658,126,0.566144
18401,704,1739,125,0.555079
18501,707,1692,130,0.560247
18601,703,1676,128,0.527961
18701,748,1771,145,0.561606
18801,733,1664,142,0.553046
18901,684,1679,135,0.5373
19001,703,1743,144,0.564755
19101,715,1651,140,0.564181
19201,725,1681,136,0.558703
19301,718,1712,151,0.551472
19401,717,1754,153,0.540543
19501,768,1705,145,0.566471
19601,763,1797,139,0.548159
19701,771,1758,153,0.546818
19801,723,1718,153,0.572217
19901,747,1673,143,0.558742
20001,739,1737,149,0.556801
20101,703,1641,146,0.548109
20201,711,1717,157,0.538351
20301,729,1773,142,0.550335
20401,724,1700,149,0.541307
20501,778,1739,137,0.574398
20601,697,1703,146,0.536878
20701,743,1712,158,0.54818
20801,725,1740,135,0.547408
20901,708,1658,148,0.536704
21001,744,1705,139,0.578932
21101,706,1723,150,0.557074
21201,737,1818,137,0.542619
21301,724,1747,145,0.556991
21401,746,1645,138,0.57093
21501,680,1662,134,0.582783
21601,736,1700,149,0.562671
21701,753,1796,150,0.561948
21801,727,1721,146,0.556251
21901,715,1710,145,0.567858
22001,735,1769,163,0.536757
22101,754,1799,152,0.553715
22201,712,1743,154,0.553406
22301,750,1746,155,0.563082
22401,727,1717,163,0.585312
22501,767,1821,160,0.561273
22601,677,1766,162,0.536474
22701,722,1744,159,0.541127
22801,733,1767,161,0.548532
22901,689,1733,151,0.569079
23001,703,1749,153,0.57347
23101,728,1826,147,0.551554
23201,698,1700,146,0.573751
23301,734,1741,150,0.571321
23401,723,1685,143,0.574227
23501,709,1701,149,0.567307
23601,690,1711,153,0.572282
23701,709,1815,161,0.527458
23801,742,1742,145,0.538521
23901,739,1781,164,0.575919
24001,708,1844,162,0.517469
24101,707,1768,157,0.54215
24201,745,1761,168,0.565128
24301,748,1774,167,0.533622
24401,715,1847,170,0.538202
24501,750,1807,184,0.544126
24601,719,1780,164,0.554475
24701,760,1818,169,0.552729
24801,719,1815,166,0.539766
24901,763,1761,171,0.556266
25001,750,1782,174,0.554195
25101,762,1856,184,0.545453
25201,702,1764,174,0.583526
25301,743,1805,175,0.549389
25401,727,1838,180,0.539174
25501,787,1800,169,0.559442
25601,739,1818,180,0.548368
25701,733,1774,170,0.551464
25801,742,1844,182,0.556251
25901,722,1892,183,0.538393
26001,794,1849,193,0.568285
26101,787,1854,171,0.553306
26201,726,1762,183,0.562568
26301,752,1804,182,0.544406
26401,734,1807,181,0.552137
26501,753,1838,188,0.554004
26601,780,1829,192,0.546185
26701,822,1892,189,0.561423
26801,759,1836,189,0.557965
26901,753,1854,181,0.561801
27001,776,1882,181,0.569154
27101,736,1871,180,0.557319
27201,773,1937,186,0.548487
27301,769,1836,196,0.554342
27401,766,1875,195,0.553646
27501,777,1917,182,0.578155
27601,793,1840,175,0.56192
27701,753,1867,179,0.560107
27801,736,1921,182,0.530447
27901,818,1888,187,0.540464
28001,775,1866,191,0.55135
28101,760,1852,181,0.551867
28201,781,1857,182,0.553757
28301,789,1836,186,0.546874
28401,804,1942,188,0.554158
28501,740,1842,192,0.546292
28601,805,1850,185,0.561908
28701,746,1811,193,0.584424
28801,778,1883,203,0.563277
28901,785,1891,191,0.545427
29001,796,1843,186,0.58616
29101,756,1810,192,0.567842
29201,807,1891,186,0.574069
29301,755,1835,192,0.551092
29401,757,1824,197,0.563387
29501,769,1923,196,0.562584
29601,829,1921,206,0.531982
29701,773,1872,197,0.569306
29801,809,1879,198,0.55707
29901,768,1850,188,0.553325
30001,741,1876,187,0.539948
30101,706,1842,183,0.555241
30201,762,1924,195,0.565624
30301,774,1869,190,0.555868
30401,796,1834,197,0.58013
30501,757,1889,200,0.539274
30601,802,1959,203,0.523851
30701,777,1933,196,0.565588
30801,773,1857,198,0.542653
30901,788,1914,188,0.524329
